Year,Name,Gold,Silver,Bronze,Total,GDP,Total Population
2012,Kenya,2,4,7,13,49506417103.7163,"44,323,013"
2012,Iran,7,5,1,13,,"76,681,210"
2012,New Zealand,6,2,5,13,163137970111.525,"4,336,624"
2012,Jamaica,4,5,3,12,13505052829.4645,"2,827,200"
2012,Czech Republic,4,3,4,11,214124330763.29,
2012,Kazakhstan,3,1,7,11,184051677947.507,"17,571,722"
2012,Poland,3,2,6,11,535792126819.885,"38,632,423"
2012,Belarus,2,5,3,10,64590481690.9209,"9,653,837"
2012,Colombia,1,3,5,9,349512460297.654,"44,381,863"
2012,Azerbaijan,2,2,5,9,57902587621.89,"9,614,435"
2012,Denmark,2,4,3,9,335436569747.025,"5,592,472"
2012,Ethiopia,3,2,3,8,44085556179.422,"86,859,533"
2012,Sweden,1,4,3,8,519891606167.582,"9,573,255"
2012,Mexico,1,3,4,8,1184180145123.71,"117,627,103"
2012,North Korea,4,0,3,7,,
2012,Romania,2,4,1,7,185277804086.669,"20,252,280"
2012,Georgia,1,2,3,6,14355383493.2391,"4,950,269"
2012,South Africa,4,1,1,6,413604477764.046,"52,995,725"
2012,India,0,2,4,6,2125024908808.5,"1,251,839,015"
2012,Croatia,3,1,2,6,57952302691.888,"4,389,754"
2012,Ireland,1,1,4,6,245809905106.814,"4,651,890"
2012,Mongolia,0,2,3,5,11408652157.2819,"2,869,801"
2012,Lithuania,2,0,3,5,43796470015.265,"2,973,159"
2012,Switzerland,2,2,0,4,625701684969.818,"8,077,542"
2012,Norway,2,1,1,4,458626161483.524,"5,021,107"
2012,Serbia,1,1,2,4,42912989858.1498,"7,159,029"
2012,Slovakia,0,1,3,4,,"5,440,777"
2012,Thailand,0,2,2,4,382525395708.79,"67,045,539"
2012,Trinidad and Tobago,1,1,2,4,22606161202.1468,"1,334,316"
2012,Slovenia,1,1,2,4,47874936326.2899,"2,092,758"
2012,Argentina,1,1,2,4,443707073929.401,"42,216,144"
2012,Egypt,0,3,1,4,,"85,806,339"
2012,Tunisia,2,0,1,3,47599273438.5916,"10,772,441"
2012,Belgium,0,1,2,3,500592443806.033,"11,058,132"
2012,Turkey,1,1,1,3,1025466784990.27,"76,335,994"
2012,Finland,0,2,1,3,247075355590.897,"5,405,387"
2012,Uzbekistan,0,0,3,3,53345005658.0365,"29,557,133"
2012,Indonesia,0,2,1,3,942184637117.359,"252,247,464"
2012,Bulgaria,0,2,1,3,52802761608.2307,"7,308,614"
2012,Singapore,0,0,2,2,289862763533.356,"5,318,078"
2012,Armenia,0,1,1,2,11123101341.3964,"3,067,011"
2012,Qatar,0,0,2,2,161225944072.686,"1,952,262"
2012,Puerto Rico,0,1,1,2,96592767902.4776,"3,636,205"
2012,Dominican Republic,1,1,0,2,64555004673.9627,"9,691,122"
2012,Chinese Taipei,1,0,1,2,,
2012,Estonia,0,1,1,2,22942757718.395,"1,288,868"
2012,Greece,0,0,2,2,245794711441.894,"10,948,200"
2012,Malaysia,0,1,1,2,314317779640.495,"29,982,958"
2012,Latvia,1,0,1,2,27432357431.7187,"2,051,103"
2012,Uganda,1,0,0,1,24965074811.1287,"32,815,387"
2012,Venezuela,1,0,0,1,,"29,486,420"
2012,Tajikistan,0,0,1,1,7464481210.4014,"7,872,533"
2012,Afghanistan,0,0,1,1,19477070577.8584,"30,412,510"
2012,Saudi Arabia,0,0,1,1,651957609840.0,"29,493,088"
2012,Portugal,0,1,0,1,223971165762.163,"10,591,764"
2012,Morocco,0,0,1,1,108463202314.752,"33,052,739"
2012,Montenegro,0,1,0,1,4380723550.42906,"622,079"
2012,Kuwait,0,0,1,1,137150383810.188,"2,646,670"
2012,Algeria,1,0,0,1,182889354514.369,"37,412,252"
2012,Hong Kong,0,0,1,1,,"7,050,104"
2012,Guatemala,0,1,0,1,47896442426.645,"14,823,189"
2012,Grenada,1,0,0,1,843718324.581439,"109,088"
2012,Gabon,0,1,0,1,17834619899.8015,"1,743,383"
2012,Cyprus,0,1,0,1,23173192052.9801,"1,138,183"
2012,Cameroon,0,0,1,1,31763379465.2944,"22,073,688"
2012,Botswana,0,1,0,1,16425389502.779,"2,044,538"
2012,Bahrain,1,0,0,1,29922841390.6393,"1,248,334"
2012,Bahamas,1,0,0,1,,
2012,Vietnam,0,0,1,1,144834688912.566,"92,697,293"
2016,United States,46,37,38,121,17844274747700.0,"323,071,755"
2016,China,26,18,26,70,10800568391746.1,"1,382,148,409"
2016,Great Britain,27,23,17,67,,
2016,Russia,19,17,20,56,,"144,133,052"
2016,Germany,17,10,15,42,3939226614470.55,"83,823,029"
2016,France,10,18,14,42,2924903217192.47,"66,809,791"
2016,Japan,12,8,21,41,6189748011270.24,"126,461,255"
2016,Australia,8,11,10,29,1422550005324.64,"23,980,152"
2016,Italy,8,12,8,28,2138766169807.78,"61,499,222"
2016,Canada,4,3,15,22,1904173807117.24,"36,404,804"
2016,South Korea,9,3,9,21,,
2016,Netherlands,8,7,4,19,948100838782.427,"16,987,697"
2016,Brazil,7,6,6,19,2309659590893.59,"208,323,342"
2016,New Zealand,4,9,5,18,185649634531.9,"4,614,016"
2016,Azerbaijan,1,7,10,18,57357249337.7948,"10,124,248"
2016,Kazakhstan,3,5,10,18,204067060293.706,"18,580,056"
2016,Spain,7,4,6,17,1548723684488.31,"46,159,139"
2016,Hungary,8,3,4,15,161218871563.44,"10,078,984"
2016,Denmark,2,6,7,15,364840483457.28,"5,733,361"
2016,Kenya,6,6,1,13,61781234460.6182,"48,932,882"
2016,Uzbekistan,4,2,7,13,66785463953.1149,"31,630,582"
2016,Ukraine,2,5,4,11,131467311860.477,"44,161,657"
2016,Poland,2,3,6,11,631952707856.598,"38,514,598"
2016,Sweden,2,6,3,11,582804342166.04,"9,961,459"
2016,Jamaica,6,3,2,11,14209550470.9176,"2,814,150"
2016,Cuba,5,2,4,11,,"11,179,836"
2016,South Africa,2,6,2,10,429875731351.897,"55,372,293"
2016,Croatia,5,3,2,10,64899927755.5475,"4,313,911"
2016,Czech Republic,1,2,7,10,248204259552.577,
2016,Belarus,1,4,4,9,63974173257.5273,"9,690,871"
2016,Ethiopia,1,2,5,8,62291386041.403,"97,276,892"
2016,Serbia,2,4,2,8,48040463522.8875,"7,015,855"
2016,Iran,3,1,4,8,,"81,004,837"
2016,Turkey,1,3,4,8,1236994415484.57,"80,232,150"
2016,Colombia,3,2,3,8,382216044545.046,"45,425,599"
2016,Georgia,2,1,4,7,16674521685.4626,"4,978,150"
2016,North Korea,2,3,2,7,,
2016,Switzerland,3,2,2,7,671241684579.846,"8,354,268"
2016,Thailand,2,2,2,6,441678233315.657,"68,346,863"
2016,Greece,3,1,2,6,252723303555.798,"10,703,982"
2016,Belgium,2,2,2,6,533218198385.386,"11,401,905"
2016,Malaysia,0,4,1,5,381795038961.845,"31,647,285"
2016,Mexico,0,3,2,5,1310528918811.03,"123,576,658"
2016,Norway,0,0,4,4,489564184707.018,"5,238,793"
2016,Romania,1,1,2,4,224629098584.481,"19,722,552"
2016,Slovenia,1,2,1,4,55320605336.0414,"2,100,372"
2016,Slovakia,2,2,0,4,,"5,463,996"
2016,Argentina,3,1,0,4,446730617131.025,"43,886,223"
2016,Armenia,1,3,0,4,13007610290.7282,"3,051,140"
2016,Lithuania,0,1,3,4,49290096837.1762,"2,855,139"
2016,Venezuela,0,2,1,3,,"30,757,956"
2016,Indonesia,1,2,0,3,1146844815417.11,"263,204,105"
2016,Bulgaria,0,1,2,3,60767158521.7273,"7,144,269"
2016,Egypt,0,0,3,3,,"95,228,450"
2016,Tunisia,0,0,3,3,50910302100.9603,"11,284,841"
2016,Chinese Taipei,1,0,2,3,,
2016,Algeria,0,2,0,2,203353978108.49,"40,652,703"
2016,India,0,1,1,2,2846127730148.26,"1,312,486,077"
2016,Ivory Coast,1,0,1,2,,
2016,Bahamas,1,0,1,2,,
2016,Bahrain,1,1,0,2,33646560943.3779,"1,378,755"
2016,Independent Olympic Athletes,1,0,1,2,,
2016,Ireland,0,2,0,2,373141461521.609,"4,808,974"
2016,Israel,0,0,2,2,309055479312.373,"8,242,458"
2016,Vietnam,1,1,0,2,187686812137.294,"97,355,565"
2016,Mongolia,0,1,1,2,13307759596.1193,"3,030,679"
2016,Kosovo,1,0,0,1,7738507887.30315,"1,882,352"
2016,Fiji,1,0,0,1,4292423440.1143,"914,582"
2016,Austria,0,0,1,1,444564007898.326,"8,710,175"
2016,Philippines,0,1,0,1,322300707148.301,"103,351,132"
2016,Morocco,0,0,1,1,122867726652.452,"34,591,211"
2016,United Arab Emirates,0,0,1,1,392773315180.395,"9,432,801"
2016,Burundi,0,1,0,1,2355586067.90637,"10,720,731"
2016,Dominican Republic,0,0,1,1,82370450861.4939,"10,123,067"
2016,Estonia,0,0,1,1,26350212987.4088,"1,258,272"
2016,Trinidad and Tobago,0,0,1,1,21249443809.4289,"1,359,247"
2016,Tajikistan,1,0,0,1,9765396816.15014,"8,747,810"
2016,Jordan,1,0,0,1,32227101327.9764,"10,040,615"
2016,Finland,0,0,1,1,267320507829.469,"5,499,022"
2016,Grenada,0,1,0,1,1026006951.86419,"111,300"
2016,Portugal,0,0,1,1,244064957343.733,"10,400,888"
2016,Niger,0,1,0,1,8943964597.41412,"19,637,375"
2016,Puerto Rico,1,0,0,1,87357573179.4529,"3,411,561"
2016,Qatar,0,1,0,1,175863478348.24,"2,259,867"
2016,Singapore,1,0,0,1,328440881504.009,"5,576,352"
2016,Nigeria,0,0,1,1,469376777269.159,"193,466,758"
2020,United States,39,41,33,113,,"331,511,512"
2020,China,38,32,18,88,,"1,404,031,889"
2020,ROC,20,28,23,71,,
2020,Great Britain,22,21,22,65,,
2020,Japan,27,14,17,58,,"125,135,727"
2020,Australia,17,7,22,46,,"25,467,706"
2020,Italy,10,10,20,40,,"61,337,765"
2020,Germany,10,11,16,37,,"84,498,245"
2020,Netherlands,10,12,14,36,,"17,400,890"
2020,France,10,12,11,33,,"67,791,837"
2020,Canada,7,6,11,24,,"37,649,603"
2020,Brazil,7,6,8,21,,"214,752,313"
2020,South Korea,6,4,10,20,,
2020,New Zealand,7,6,7,20,,"4,925,334"
2020,Hungary,6,7,7,20,,"10,026,575"
2020,Ukraine,1,6,12,19,,"43,508,029"
2020,Spain,3,8,6,17,,"47,041,387"
2020,Cuba,7,3,5,15,,"11,058,573"
2020,Poland,4,5,5,14,,"38,375,246"
2020,Turkey,2,2,9,13,,"82,009,212"
2020,Switzerland,3,4,6,13,,"8,585,698"
2020,Chinese Taipei,2,4,6,12,,
2020,Czech Republic,4,4,3,11,,
2020,Denmark,3,4,4,11,,"5,868,927"
2020,Kenya,4,4,2,10,,"53,513,653"
2020,Serbia,3,1,5,9,,"6,856,660"
2020,Jamaica,4,1,4,9,,"2,815,048"
2020,Sweden,3,6,0,9,,"10,382,678"
2020,Georgia,2,5,1,8,,"4,997,628"
2020,Norway,4,2,2,8,,"5,381,527"
2020,Kazakhstan,0,0,8,8,,"19,513,854"
2020,Croatia,3,3,2,8,,"4,229,585"
2020,India,1,2,4,7,,"1,369,541,070"
2020,Belarus,1,3,3,7,,"9,636,175"
2020,Austria,1,1,5,7,,"8,856,348"
2020,Azerbaijan,0,3,4,7,,"10,464,719"
2020,Iran,3,2,2,7,,"84,982,541"
2020,Belgium,3,1,3,7,,"11,708,235"
2020,Bulgaria,3,1,2,6,,"6,965,462"
2020,Hong Kong,1,2,3,6,,"7,248,206"
2020,Egypt,1,1,4,6,,"103,994,537"
2020,Indonesia,1,1,3,5,,"272,856,400"
2020,Slovenia,3,1,1,5,,"2,102,452"
2020,Uzbekistan,3,0,2,5,,"34,014,838"
2020,Dominican Republic,0,3,2,5,,"10,516,103"
2020,Colombia,0,4,1,5,,"48,419,737"
2020,Romania,1,3,0,4,,"18,986,068"
2020,Philippines,1,2,1,4,,"110,461,801"
2020,Portugal,1,1,2,4,,"10,288,283"
2020,Uganda,2,1,1,4,,"43,249,944"
2020,Slovakia,1,2,1,4,,"5,492,134"
2020,Mexico,0,0,4,4,,"128,092,570"
2020,Mongolia,0,1,3,4,,"3,168,648"
2020,Venezuela,1,3,0,4,,"28,612,153"
2020,Armenia,0,2,2,4,,"3,021,483"
2020,Ethiopia,1,1,2,4,,"107,882,961"
2020,Greece,2,1,1,4,,"10,604,841"
2020,Ireland,2,0,2,4,,"5,030,214"
2020,Israel,2,0,2,4,,"8,829,355"
2020,San Marino,0,1,2,3,,"34,247"
2020,Ecuador,2,1,0,3,,"17,550,613"
2020,South Africa,1,2,0,3,,"58,012,938"
2020,Qatar,2,0,1,3,,"2,447,179"
2020,Argentina,0,1,2,3,,"45,479,650"
2020,Kyrgyzstan,0,2,1,3,,"5,963,777"
2020,Latvia,1,0,1,2,,"1,883,186"
2020,Fiji,1,0,1,2,,"935,139"
2020,Jordan,0,1,1,2,,"10,819,966"
2020,Finland,0,0,2,2,,"5,572,355"
2020,Thailand,1,0,1,2,,"69,291,926"
2020,Tunisia,1,1,0,2,,"11,719,458"
2020,Malaysia,0,1,1,2,,"33,164,013"
2020,Kosovo,2,0,0,2,,"1,931,888"
2020,Bahamas,2,0,0,2,,
2020,Nigeria,0,1,1,2,,"213,986,428"
2020,Estonia,1,0,1,2,,"1,228,296"
2020,Turkmenistan,0,1,0,1,,"5,522,684"
2020,Botswana,0,0,1,1,,"2,316,910"
2020,Burkina Faso,0,0,1,1,,"20,833,136"
2020,Bermuda,1,0,0,1,,"71,818"
2020,Bahrain,0,1,0,1,,"1,504,665"
2020,Syria,0,0,1,1,,"19,392,460"
2020,North Macedonia,0,1,0,1,,"2,125,463"
2020,Moldova,0,0,1,1,,"3,587,186"
2020,Ghana,0,0,1,1,,"31,643,281"
2020,Morocco,1,0,0,1,,"36,055,311"
2020,Saudi Arabia,0,1,0,1,,"34,223,743"
2020,Grenada,0,0,1,1,,"113,165"
2020,Namibia,0,1,0,1,,"2,627,111"
2020,Kuwait,0,0,1,1,,"2,995,271"
2020,Puerto Rico,1,0,0,1,,"3,190,410"
2020,Ivory Coast,0,0,1,1,,
2020,Lithuania,0,1,0,1,,"2,739,816"
