Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Country,Code,Year,GDP-Growth,GDP-Per-Capita,GDP,Host_country,Host_city,Country_Name,Country_Code,Gold,Silver,Bronze
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,1976,2.91970808964352,22858.8148888497,108637157806.075,Canada,Montreal,Finland,FIN,4,2,0
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,1980,3.08735421419586,26532.2091838819,128069196072.583,Soviet Union,Moscow,Finland,FIN,3,1,4
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,1984,2.72613808053603,29478.4277861699,144979447530.263,United States,Los Angeles,Finland,FIN,4,2,6
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,1988,0.675783493968225,33514.9230312744,167119851165.76,South Korea,Seoul,Finland,FIN,1,1,2
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,1992,3.93926094970595,30822.6083597141,156835695262.809,Spain,Barcelona,Finland,FIN,1,2,2
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,1996,5.42851256695509,36824.847965247,189776780339.204,United States,Atlanta,Finland,FIN,1,2,1
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,2000,1.6803250889493,41993.6890221885,218392295141.416,Australia,Sydney,Finland,FIN,2,1,1
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,2004,4.05519744386183,47011.657598012,247575988035.367,Greece,Athens,Finland,FIN,0,2,0
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,2008,2.99233750220186,46202.4151628454,247799815768.477,China,Beijing,Finland,FIN,1,1,2
118,FIN,Finland,Helsinki,Europe,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.3722,1.0009,0.07,Finland,FIN,2012,-0.631728090593853,45239.3688031623,247075355590.897,Great Britain,London,Finland,FIN,0,2,1
23,FRA,France,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81,France,FRA,1960,6.67217462633565,14288.2546211254,684477080169.693,Italy,Rome,France,FRA,0,2,3
